Database,ammonia,,,,,,,,,,,
,,,,,,,,,,,,
Activity,"CO2 - MEA capture, w/o energy consumption, flue gas emissions",,,,,,,,,,,
comment,"Carlo d'Angelo et al., 2021",,,,,,,,,,,
location,GLO,,,,,,,,,,,
reference product,"CO2 - MEA capture, w/o energy consumption, flue gas emissions",,,,,,,,,,,
type,process,,,,,,,,,,,
unit,kilogram,,,,,,,,,,,
Exchanges,,,,,,,,,,,,
name,amount,database,location,unit,categories,type,reference product,,,,,
Ammonia,0.21,biosphere3,,kilogram,air,biosphere,,,,,,
Monoethanolamine,0.0305,biosphere3,,kilogram,air,biosphere,,,,,,
"CO2 - MEA capture, w/o energy consumption, flue gas emissions",1000,new_activities,GLO,kilogram,,production,"CO2 - MEA capture, w/o energy consumption, flue gas emissions",,,,,
"market for activated carbon, granular",0.075,cutoff38,GLO,kilogram,,technosphere,"activated carbon, granular",,,,,
market for monoethanolamine,1.5,cutoff38,GLO,kilogram,,technosphere,monoethanolamine,,,,,
"market for sodium hydroxide, without water, in 50% solution state",0.13,cutoff38,GLO,kilogram,,technosphere,"sodium hydroxide, without water, in 50% solution state",,,,,
market for tap water,3.5,cutoff38,RoW,kilogram,,technosphere,tap water,,,,,
"treatment of spent solvent mixture, hazardous waste incineration",-2.45,cutoff38,Europe without Switzerland,kilogram,,technosphere,spent solvent mixture,,,,,
,,,,,,,,,,,,
Activity,"CO2 capture/at H2 production plant, pre, pipeline 200km, storage 1000m (excluding electricity)",,,,,,,,,,,
comment,"copied from premise with electricity removed, since the increased electricity is handled in the coal gasification w/ CCS inventory",,,,,,,,,,,
location,RER,,,,,,,,,,,
production amount,1,,,,,,,,,,,
reference product,"CO2 capture/at H2 production plant, pre, pipeline 200km, storage 1000m",,,,,,,,,,,
source,"Life cycle assessment of carbon capture and storage in power generation and industry in Europe, Volkart et al., 2013, International Journal of Greenhouse Gas Control",,,,,,,,,,,
type,process,,,,,,,,,,,
unit,kilogram,,,,,,,,,,,
worksheet name,Carma CCS,,,,,,,,,,,
Exchanges,,,,,,,,,,,,
name,amount,database,location,unit,categories,type,uncertainty type,allocation,comment,product,reference product,simapro name
"Water, cooling, unspecified natural origin",0.0832,biosphere3,,cubic meter,natural resource::in water,biosphere,0,,RECCS 2007,,,
"CO2 capture/at H2 production plant, pre, pipeline 200km, storage 1000m (excluding electricity)",1,new_activities,RER,kilogram,CCS Europe 2025::Wood::Geological storage::BIGCC,production,,100,,,"CO2 capture/at H2 production plant, pre, pipeline 200km, storage 1000m","CO2 capture/at H2 production plant, pre, pipeline 200km, storage 1000m/RER U"
"CO2 storage/at H2 production plant, pre, pipeline 200km, storage 1000m",1,premise1,RER,kilogram,Materials/fuels,technosphere,0,,,,"CO2 storage/at H2 production plant, pre, pipeline 200km, storage 1000m","CO2 storage/at H2 production plant, pre, pipeline 200km, storage 1000m/RER U"
Selexol (Dimethylether of polyethylene glycol)/RER,0.000007,premise1,RER,kilogram,Materials/fuels,technosphere,0,,Singh et al. (2011),,Selexol (Dimethylether of polyethylene glycol)/RER,
"heat pump production, heat and power co-generation unit, 160kW electrical",9.86E-09,premise1,RER,unit,Materials/fuels,technosphere,0,,n_HX = n_total*lifetime_ratio/(lifetime_plant*annual m_flow),"heat pump, heat and power co-generation unit, 160kW electrical","heat pump, heat and power co-generation unit, 160kW electrical",Heat exchanger of cogen unit 160kWe/RER/I U
"market for absorption chiller, 100kW",1.97E-08,premise1,GLO,unit,Materials/fuels,technosphere,0,,n_absorption chiller = n_total*lifetime_ratio/(lifetime_plant*annual m_flow),"absorption chiller, 100kW","absorption chiller, 100kW",Absorption chiller 100kW/CH/I U
"market for gas turbine, 10MW electrical",9.86E-09,premise1,GLO,unit,Materials/fuels,technosphere,0,,n_GT = n_total*lifetime_ratio/(lifetime_plant*annual m_flow),"gas turbine, 10MW electrical","gas turbine, 10MW electrical","Gas turbine, 10MWe, at production plant/RER/I U"
"market for liquid storage tank, chemicals, organics",2.73E-09,premise1,GLO,unit,Materials/fuels,technosphere,0,,n_tank = V_total*lifetime_ratio/(V_ref*lifetime plant*annual m_flow),"liquid storage tank, chemicals, organics","liquid storage tank, chemicals, organics","Liquid storage tank, chemicals, organics/CH/I U"
"market for pump, 40W",9.86E-09,premise1,GLO,unit,Materials/fuels,technosphere,0,,n_pump = n_total*lifetime_ratio/(lifetime_plant*annual m_flow),"pump, 40W","pump, 40W","Pump 40W, at plant/CH/I U"
"treatment of spent solvent mixture, hazardous waste incineration",-0.000007,premise1,CH,kilogram,Waste to treatment,technosphere,0,,"Singh et al. (2011), disposal of solid degradation products",spent solvent mixture,spent solvent mixture,"Disposal, solvents mixture, 16.5% water, to hazardous waste incineration/CH U"
,,,,,,,,,,,,
Activity,"CO2 from ammonia production, steam reforming",,,,,,,,,,,
comment,"CO2 production during steam reforming. Ammonia takes the full burden (so 0% is allocated to carbon dioxide, in chemical industry) but this activity is listed for traceability of carbon. This treatment follows the previous ecoinvent method for consistency. When some of this CO2 is fed into urea produciton, urea has a negative emission. ",,,,,,,,,,,
location,GLO,,,,,,,,,,,
reference product,"carbon dioxide, in chemical industry",,,,,,,,,,,
type,process,,,,,,,,,,,
unit,kilogram,,,,,,,,,,,
Exchanges,,,,,,,,,,,,
name,amount,database,location,unit,categories,type,reference product,,,,,
Ammonia,0,biosphere3,,kilogram,air,biosphere,,,,,,
"Carbon dioxide, fossil",0,biosphere3,,kilogram,air,biosphere,,,,,,
"Carbon monoxide, fossil",0,biosphere3,,kilogram,air,biosphere,,,,,,
Hydrogen,0,biosphere3,,kilogram,air,biosphere,,,,,,
"Methane, fossil",0,biosphere3,,kilogram,air,biosphere,,,,,,
Monoethanolamine,0,biosphere3,,kilogram,water,biosphere,,,,,,
Nitrogen,0,biosphere3,,kilogram,water,biosphere,,,,,,
Nitrogen oxides,0,biosphere3,,kilogram,air,biosphere,,,,,,
Water,0,biosphere3,,cubic meter,air,biosphere,,,,,,
Water,0,biosphere3,,cubic meter,water,biosphere,,,,,,
"Water, cooling, unspecified natural origin",0,biosphere3,,cubic meter,natural resource::in water,biosphere,,,,,,
"CO2 from ammonia production, steam reforming",1,new_activities,GLO,kilogram,,production,"carbon dioxide, in chemical industry",,,,,
average ammonia transport,0,new_activities,GLO,unit,,technosphere,average ammonia transport,,,,,
catalysts for ammonia synthesis from SMR,0,new_activities,GLO,kilogram,,technosphere,catalysts for ammonia from SMR,,,,,
"market for chemical factory, organics",0,cutoff38,GLO,unit,,technosphere,"chemical factory, organics",,,,,
market for tap water,0,cutoff38,RoW,kilogram,,technosphere,tap water,,,,,
"market for wastewater, average",0,cutoff38,RoW,cubic meter,,technosphere,"wastewater, average",,,,,
"market for water, deionised",0,cutoff38,RoW,kilogram,,technosphere,"water, deionised",,,,,
"market group for electricity, high voltage",0,cutoff38,GLO,kilowatt hour,,technosphere,"electricity, high voltage",,,,,
"market group for natural gas, high pressure",0,cutoff38,GLO,cubic meter,,technosphere,"natural gas, high pressure",,,,,
"natural gas burnt in furnace, excluding CO2 generated in flue gas",0,new_activities,GLO,megajoule,,technosphere,"natural gas burnt in furnace, excluding CO2 generated in flue gas",,,,,
"treatment of inert waste, inert material landfill",0,cutoff38,RoW,kilogram,,technosphere,"inert waste, for final disposal",,,,,
,,,,,,,,,,,,
Activity,"CO2 from hydrogen production, coal gasification",,,,,,,,,,,
comment,"CO2 production during coal gasification. Ammonia/hydrogen takes the full burden (so 0% is allocated to carbon dioxide, in chemical industry) but this activity is listed for traceability of carbon. This treatment follows the previous ecoinvent method for consistency. When some of this CO2 is fed into urea produciton, urea has a negative emission. ",,,,,,,,,,,
location,GLO,,,,,,,,,,,
reference product,"carbon dioxide, in chemical industry",,,,,,,,,,,
type,process,,,,,,,,,,,
unit,kilogram,,,,,,,,,,,
Exchanges,,,,,,,,,,,,
name,amount,database,location,unit,categories,type,reference product,,,,,
Ammonia,0,biosphere3,,kilogram,air::non-urban air or from high stacks,biosphere,,,,,,
"Carbon dioxide, fossil",0,biosphere3,,kilogram,air,biosphere,,,,,,
Dinitrogen monoxide,0,biosphere3,,kilogram,air,biosphere,,,,,,
Hydrogen chloride,0,biosphere3,,kilogram,air::non-urban air or from high stacks,biosphere,,,,,,
"Methane, fossil",0,biosphere3,,kilogram,air,biosphere,,,,,,
"CO2 from hydrogen production, coal gasification",1,new_activities,GLO,kilogram,,production,"carbon dioxide, in chemical industry",,,,,
"market for chemical factory, organics",0,cutoff38,GLO,unit,,technosphere,"chemical factory, organics",,,,,
market for hard coal,0,cutoff38,CN,kilogram,,technosphere,hard coal,,,,,
"market for lime, packed",0,cutoff38,RoW,kilogram,,technosphere,"lime, packed",,,,,
"market for liquid storage tank, chemicals, organics",0,cutoff38,GLO,unit,,technosphere,"liquid storage tank, chemicals, organics",,,,,
"market for transport, freight train",0,cutoff38,CN,ton kilometer,,technosphere,"transport, freight train",,,,,
"market for water, deionised",0,cutoff38,Europe without Switzerland,kilogram,,technosphere,"water, deionised",,,,,
"market group for transport, freight, inland waterways, barge",0,cutoff38,GLO,ton kilometer,,technosphere,"transport, freight, inland waterways, barge",,,,,
"treatment of hard coal ash, residual material landfill",0,cutoff38,RoW,kilogram,,technosphere,hard coal ash,,,,,
"treatment of waste gypsum, inert material landfill",0,cutoff38,Europe without Switzerland,kilogram,,technosphere,waste gypsum,,,,,
,,,,,,,,,,,,
Activity,"CO2 transport and injection in a geological reservoir, infrastructure",,,,,,,,,,,
comment,"Carlo d'Angelo et al., 2021",,,,,,,,,,,
",,,,,,,,,,,",,,,,,,,,,,,
location,GLO,,,,,,,,,,,
reference product,"CO2 transport and injection in a geological reservoir, infrastructure",,,,,,,,,,,
type,process,,,,,,,,,,,
unit,kilogram,,,,,,,,,,,
Exchanges,,,,,,,,,,,,
name,amount,database,location,unit,categories,type,reference product,,,,,
"Occupation, construction site",0.0141,biosphere3,,square meter-year,natural resource::land,biosphere,,,,,,
"Sand, unspecified, in ground",11.5,biosphere3,,kilogram,natural resource::in ground,biosphere,,,,,,
"Transformation, from forest, unspecified",0.00851,biosphere3,,square meter,natural resource::land,biosphere,,,,,,
"Transformation, to heterogeneous, agricultural",0.00851,biosphere3,,square meter,natural resource::land,biosphere,,,,,,
"CO2 transport and injection in a geological reservoir, infrastructure",1000,new_activities,GLO,kilogram,,production,"CO2 transport and injection in a geological reservoir, infrastructure",,,,,
"electrorefining of copper, anode",0.00194,cutoff38,GLO,kilogram,,technosphere,"copper, cathode",,,,,
market for bitumen seal,0.00987,cutoff38,GLO,kilogram,,technosphere,bitumen seal,,,,,
"market for diesel, burned in building machine",14.1,cutoff38,GLO,megajoule,,technosphere,"diesel, burned in building machine",,,,,
"market for drawing of pipe, steel",1.02,cutoff38,GLO,kilogram,,technosphere,"drawing of pipe, steel",,,,,
"market for onshore well, oil/gas",0.0000822,cutoff38,GLO,meter,,technosphere,"onshore well, oil/gas",,,,,
"market for polyethylene, high density, granulate",0.0197,cutoff38,GLO,kilogram,,technosphere,"polyethylene, high density, granulate",,,,,
market for reinforcing steel,1.02,cutoff38,GLO,kilogram,,technosphere,reinforcing steel,,,,,
"market for steel, low-alloyed",0.037,cutoff38,GLO,kilogram,,technosphere,"steel, low-alloyed",,,,,
"market for steel, unalloyed",0.0173,cutoff38,GLO,kilogram,,technosphere,"steel, unalloyed",,,,,
"market for transport, freight, lorry >32 metric ton, EURO6",1.31,cutoff38,RER,ton kilometer,,technosphere,"transport, freight, lorry >32 metric ton, EURO6",,,,,
"market group for concrete, normal",0.0000478,cutoff38,GLO,cubic meter,,technosphere,"concrete, normal",,,,,
,,,,,,,,,,,,
Activity,NH3 synthesis catalyst,,,,,,,,,,,
comment,Carlo d'Angelo et al. 2021 SI,,,,,,,,,,,
location,GLO,,,,,,,,,,,
reference product,NH3 synthesis catalyst,,,,,,,,,,,
type,process,,,,,,,,,,,
unit,kilogram,,,,,,,,,,,
Exchanges,,,,,,,,,,,,
name,amount,database,location,unit,type,reference product,,,,,,
NH3 synthesis catalyst,1,new_activities,GLO,kilogram,production,NH3 synthesis catalyst,,,,,,
market for lime,0.03,cutoff38,RER,kilogram,technosphere,lime,,,,,,
market for magnetite,0.917,cutoff38,GLO,kilogram,technosphere,magnetite,,,,,,
"market for zeolite, powder",0.0525,cutoff38,GLO,kilogram,technosphere,"zeolite, powder",,,,,,
"market group for electricity, high voltage",1.78,cutoff38,GLO,kilowatt hour,technosphere,"electricity, high voltage",,,,,,
,,,,,,,,,,,,
Activity,"ammonia production, hydrogen from coal gasification",,,,,,,,,,,
comment,"Haber-Bosch process, using hydrogen and nitrogen to produce ammonia.",,,,,,,,,,,
Values from Carlo d'Angelo et al., 2021. Electricity input same as needed for H-B from electrolysis hydrogen.,,,,,,,,,,,
Electricity as a co-product managed in the coal gasification step," instead of in the ammonia production step. """,,,,,,,,,,,
location,GLO,,,,,,,,,,,
reference product,"ammonia, anhydrous, liquid",,,,,,,,,,,
type,process,,,,,,,,,,,
unit,kilogram,,,,,,,,,,,
Exchanges,,,,,,,,,,,,
name,amount,database,location,unit,categories,type,reference product,,,,,
Ammonia,0.00163,biosphere3,,kilogram,air,biosphere,,,,,,
Hydrogen,0.000767,biosphere3,,kilogram,air,biosphere,,,,,,
Nitrogen oxides,0.001,biosphere3,,kilogram,air,biosphere,,,,,,
Water,0.0477,biosphere3,,cubic meter,air,biosphere,,,,,,
Water,0.101,biosphere3,,cubic meter,water,biosphere,,,,,,
"Water, cooling, unspecified natural origin",0.149,biosphere3,,cubic meter,natural resource::in water,biosphere,,,,,,
"ammonia production, hydrogen from coal gasification",1,new_activities,GLO,kilogram,,production,"ammonia, anhydrous, liquid",,,,,
NH3 synthesis catalyst,0.0000551,new_activities,GLO,kilogram,,technosphere,NH3 synthesis catalyst,,,,,
average ammonia transport,1,new_activities,GLO,unit,,technosphere,average ammonia transport,,,,,
"hydrogen production, multifunctional coal gasification",0.178,new_activities,GLO,kilogram,,technosphere,"hydrogen, multifunctional coal gasification",,,,,
"market for chemical factory, organics",3.29E-10,cutoff38,GLO,unit,,technosphere,"chemical factory, organics",,,,,
"market group for electricity, high voltage",0.556,cutoff38,GLO,kilowatt hour,,technosphere,"electricity, high voltage",,,,,
"nitrogen, from cryogenic distillation, gaseous",0.815,new_activities,GLO,kilogram,,technosphere,"nitrogen, from cryogenic distillation, gaseous",,,,,
"treatment of inert waste, inert material landfill",-0.0000551,cutoff38,RoW,kilogram,,technosphere,"inert waste, for final disposal",,,,,
,,,,,,,,,,,,
Activity,"ammonia production, hydrogen from coal gasification w/ CCS",,,,,,,,,,,
comment,"Haber-Bosch process, using hydrogen and nitrogen to produce ammonia.",,,,,,,,,,,
Values from Carlo d'Angelo et al.," 2021""",,,,,,,,,,,
location,GLO,,,,,,,,,,,
reference product,"ammonia, anhydrous, liquid",,,,,,,,,,,
type,process,,,,,,,,,,,
unit,kilogram,,,,,,,,,,,
Exchanges,,,,,,,,,,,,
name,amount,database,location,unit,categories,type,reference product,,,,,
Ammonia,0.00163,biosphere3,,kilogram,air,biosphere,,,,,,
Hydrogen,0.000767,biosphere3,,kilogram,air,biosphere,,,,,,
Nitrogen oxides,0.001,biosphere3,,kilogram,air,biosphere,,,,,,
Water,0.0477,biosphere3,,cubic meter,air,biosphere,,,,,,
Water,0.101,biosphere3,,cubic meter,water,biosphere,,,,,,
"Water, cooling, unspecified natural origin",0.149,biosphere3,,cubic meter,natural resource::in water,biosphere,,,,,,
"ammonia production, hydrogen from coal gasification w/ CCS",1,new_activities,GLO,kilogram,,production,"ammonia, anhydrous, liquid",,,,,
NH3 synthesis catalyst,0.0000551,new_activities,GLO,kilogram,,technosphere,NH3 synthesis catalyst,,,,,
average ammonia transport,1,new_activities,GLO,unit,,technosphere,average ammonia transport,,,,,
"hydrogen production, coal gasification w/ CCS",0.178,new_activities,GLO,kilogram,,technosphere,"hydrogen, coal gasification w/ CCS",,,,,
"market for chemical factory, organics",3.29E-10,cutoff38,GLO,unit,,technosphere,"chemical factory, organics",,,,,
"market group for electricity, high voltage",0.556,cutoff38,GLO,kilowatt hour,,technosphere,"electricity, high voltage",,,,,
"nitrogen, from cryogenic distillation, gaseous",0.815,new_activities,GLO,kilogram,,technosphere,"nitrogen, from cryogenic distillation, gaseous",,,,,
"treatment of inert waste, inert material landfill",-0.0000551,cutoff38,RoW,kilogram,,technosphere,"inert waste, for final disposal",,,,,
,,,,,,,,,,,,
Activity,"ammonia production, hydrogen from electrolysis",,,,,,,,,,,
comment,"Haber-Bosch process, using hydrogen and nitrogen to produce ammonia. Values from Carlo d'Angelo et al., 2021.",,,,,,,,,,,
"Spent catalyst to treatment for inert material landfill""",,,,,,,,,,,,
location,GLO,,,,,,,,,,,
reference product,"ammonia, anhydrous, liquid",,,,,,,,,,,
type,process,,,,,,,,,,,
unit,kilogram,,,,,,,,,,,
Exchanges,,,,,,,,,,,,
name,amount,database,location,unit,categories,type,reference product,,,,,
Ammonia,0.00163,biosphere3,,kilogram,air,biosphere,,,,,,
Hydrogen,0.000767,biosphere3,,kilogram,air,biosphere,,,,,,
Nitrogen oxides,0.001,biosphere3,,kilogram,air,biosphere,,,,,,
Water,0.0477,biosphere3,,cubic meter,air,biosphere,,,,,,
Water,0.101,biosphere3,,cubic meter,water,biosphere,,,,,,
"Water, cooling, unspecified natural origin",0.149,biosphere3,,cubic meter,natural resource::in water,biosphere,,,,,,
"ammonia production, hydrogen from electrolysis",1,new_activities,GLO,kilogram,,production,"ammonia, anhydrous, liquid",,,,,
NH3 synthesis catalyst,0.0000551,new_activities,GLO,kilogram,,technosphere,NH3 synthesis catalyst,,,,,
average ammonia transport,1,new_activities,GLO,unit,,technosphere,average ammonia transport,,,,,
"market for chemical factory, organics",3.29E-10,cutoff38,GLO,unit,,technosphere,"chemical factory, organics",,,,,
"market for hydrogen production, electrolysis",0.176,new_activities,GLO,kilogram,,technosphere,"hydrogen, electrolysis",,,,,
"market group for electricity, high voltage",0.556,cutoff38,GLO,kilowatt hour,,technosphere,"electricity, high voltage",,,,,
"nitrogen, from cryogenic distillation, gaseous",0.815,new_activities,GLO,kilogram,,technosphere,"nitrogen, from cryogenic distillation, gaseous",,,,,
"treatment of inert waste, inert material landfill",-0.0000551,cutoff38,RoW,kilogram,,technosphere,"inert waste, for final disposal",,,,,
,,,,,,,,,,,,
Activity,"ammonia production, hydrogen from methane pyrolysis",,,,,,,,,,,
comment,"Haber-Bosch process, using hydrogen and nitrogen to produce ammonia.",,,,,,,,,,,
"Duplicate of H-B from coal gasification -> changed to have hydrogen from methane pyrolysis""",,,,,,,,,,,,
location,GLO,,,,,,,,,,,
reference product,"ammonia, anhydrous, liquid",,,,,,,,,,,
type,process,,,,,,,,,,,
unit,kilogram,,,,,,,,,,,
Exchanges,,,,,,,,,,,,
name,amount,database,location,unit,categories,type,reference product,,,,,
Ammonia,0.00163,biosphere3,,kilogram,air,biosphere,,,,,,
Hydrogen,0.000767,biosphere3,,kilogram,air,biosphere,,,,,,
Nitrogen oxides,0.001,biosphere3,,kilogram,air,biosphere,,,,,,
Water,0.0477,biosphere3,,cubic meter,air,biosphere,,,,,,
Water,0.101,biosphere3,,cubic meter,water,biosphere,,,,,,
"Water, cooling, unspecified natural origin",0.149,biosphere3,,cubic meter,natural resource::in water,biosphere,,,,,,
"ammonia production, hydrogen from methane pyrolysis",1,new_activities,GLO,kilogram,,production,"ammonia, anhydrous, liquid",,,,,
NH3 synthesis catalyst,0.0000551,new_activities,GLO,kilogram,,technosphere,NH3 synthesis catalyst,,,,,
average ammonia transport,1,new_activities,GLO,unit,,technosphere,average ammonia transport,,,,,
"hydrogen production, multifunctional methane pyrolysis",0.178,new_activities,GLO,kilogram,,technosphere,"hydrogen, multifunctional methane pyrolysis",,,,,
"market for chemical factory, organics",3.29E-10,cutoff38,GLO,unit,,technosphere,"chemical factory, organics",,,,,
"market group for electricity, high voltage",0.556,cutoff38,GLO,kilowatt hour,,technosphere,"electricity, high voltage",,,,,
"nitrogen, from cryogenic distillation, gaseous",0.815,new_activities,GLO,kilogram,,technosphere,"nitrogen, from cryogenic distillation, gaseous",,,,,
"treatment of inert waste, inert material landfill",-0.0000551,cutoff38,RoW,kilogram,,technosphere,"inert waste, for final disposal",,,,,
